158,appunn.scl,appunn,36,"""Probable tuning of A. Appunn's 36-tone harmonium w. 3 manuals 80/81 apart (1887)"""
159,arabic_bastanikar_on_b.scl,arabic bastanikar on b,12,"""Arabic Bastanikar with perde iraq on B by Dr. Ozan Yarman"""
160,arabic_bayati_and_bayati-shuri_on_d.scl,arabic bayati and bayati-shuri on d,11,"""Arabic Bayati and Bayati-Shuri (Karjighar) with perde dugah on D by Dr. Oz."""
161,arabic_bayati_and_ushshaq-misri_on_d.scl,arabic bayati and ushshaq-misri on d,11,"""Arabic Bayati and Ushshaq Misri with perde dugah on D by Dr. Oz."""
162,arabic_huzam_on_e.scl,arabic huzam on e,12,"""Arabic Huzam with perde segah on E by Dr. Oz."""
163,arabic_rast_on_c.scl,arabic rast on c,8,"""Arabic Rast with perde rast on C by Dr. Ozan Yarman"""
164,arabic_saba-zamzama_on_d.scl,arabic saba-zamzama on d,11,"""Arabic Saba-Zamzama with perde dugah on D by Dr. Oz."""
165,arabic_saba_on_d.scl,arabic saba on d,11,"""Arabic Saba with perde dugah on D by Dr. Oz."""
166,arabic_segah-mustaar_on_e.scl,arabic segah-mustaar on e,12,"""Arabic Segah and Mustaar with perde segah on E by Dr. Oz."""
167,arabic_zanjaran_on_c.scl,arabic zanjaran on c,7,"""Arabic Zanjaran with perde rast on C by Dr. Oz."""
168,archchro.scl,archchro,7,"""Archytas' Chromatic in hemif temperament, 58-tET tuning"""
169,archytas12.scl,archytas12,12,"""Archytas[12] (64/63) hobbit, 9-limit minimax"""
170,archytas12sync.scl,archytas12sync,12,"""Archytas[12] (64/63) hobbit, sync beating"""
171,archytas7.scl,archytas7,7,"""Archytas (64/63) hobbit in POTE tuning"""
172,arch_chrom.scl,arch chrom,7,"""Archytas' Chromatic"""
173,ARCH_CHROMc2.scl,ARCH CHROMc2,14,"""Product set of 2 of Archytas' Chromatic"""
174,arch_dor.scl,arch dor,8,"""Dorian mode of Archytas' Chromatic with added 16/9"""
175,arch_enh.scl,arch enh,7,"""Archytas' Enharmonic"""
176,arch_enh2.scl,arch enh2,8,"""Archytas' Enharmonic with added 16/9"""
177,arch_enh3.scl,arch enh3,7,"""Complex 9 of p. 113 based on Archytas's Enharmonic"""
178,arch_enhp.scl,arch enhp,7,"""Permutation of Archytas' Enharmonic with 36/35 first"""
179,arch_enht.scl,arch enht,7,"""Complex 6 of p. 113 based on Archytas's Enharmonic"""
180,ARCH_ENHt2.scl,ARCH ENHt2,7,"""Complex 5 of p. 113 based on Archytas's Enharmonic"""
181,ARCH_ENHT3.scl,ARCH ENHT3,7,"""Complex 1 of p. 113 based on Archytas's Enharmonic"""
182,arch_enht4.scl,arch enht4,7,"""Complex 8 of p. 113 based on Archytas's Enharmonic"""
183,ARCH_ENHT5.scl,ARCH ENHT5,7,"""Complex 10 of p. 113 based on Archytas's Enharmonic"""
184,arch_enht6.scl,arch enht6,7,"""Complex 2 of p. 113 based on Archytas's Enharmonic"""
185,arch_enht7.scl,arch enht7,7,"""Complex 11 of p. 113 based on Archytas's Enharmonic"""
186,arch_mult.scl,arch mult,12,"""Multiple Archytas"""
187,arch_ptol.scl,arch ptol,12,"""Archytas/Ptolemy Hybrid 1"""
188,arch_ptol2.scl,arch ptol2,12,"""Archytas/Ptolemy Hybrid 2"""
189,arch_sept.scl,arch sept,12,"""Archytas Septimal"""
190,ares12.scl,ares12,12,"""Ares[12] (64/63&100/99) hobbit, POTE tuning"""
191,ares12opt.scl,ares12opt,12,"""Lesfip scale derived from Ares[12], 13 cents, 11-limit"""
192,ariel1.scl,ariel1,12,"""Ariel 1"""
193,ariel2.scl,ariel2,12,"""Ariel 2"""
194,ariel3.scl,ariel3,12,"""Ariel's 12-tone JI scale"""
195,ariel_19.scl,ariel 19,19,"""Ariel's 19-tone scale"""
196,ariel_31.scl,ariel 31,31,"""Ariel's 31-tone system"""
197,arist_archenh.scl,arist archenh,7,"""PsAristo Arch. Enharmonic, 4 + 3 + 23 parts, similar to Archytas' enharmonic"""
198,arist_chrom.scl,arist chrom,7,"""Dorian, Neo-Chromatic,6+18+6 parts = Athanasopoulos' Byzant.liturg. 2nd chromatic"""
199,arist_chrom2.scl,arist chrom2,7,"""Dorian Mode, a 1:2 Chromatic, 8 + 18 + 4 parts"""
200,arist_chrom3.scl,arist chrom3,7,"""PsAristo 3 Chromatic, 7 + 7 + 16 parts"""
201,arist_chrom4.scl,arist chrom4,7,"""PsAristo Chromatic, 5.5 + 5.5 + 19 parts"""
202,arist_chromenh.scl,arist chromenh,7,"""Aristoxenos' Chromatic/Enharmonic, 3 + 9 + 18 parts"""
203,ARIST_CHROMINV.scl,ARIST CHROMINV,7,"""Aristoxenos' Inverted Chromatic, Dorian mode, 18 + 6 + 6 parts"""
204,arist_chromrej.scl,arist chromrej,7,"""Aristoxenos Rejected Chromatic, 6 + 3 + 21 parts"""
205,arist_chromunm.scl,arist chromunm,7,"""Unmelodic Chromatic, genus of Aristoxenos, Dorian Mode, 4.5 + 3.5 + 22 parts"""
206,arist_diat.scl,arist diat,7,"""Phrygian octave species on E, 12 + 6 + 12 parts"""
207,arist_diat2.scl,arist diat2,7,"""PsAristo 2 Diatonic, 7 + 11 + 12 parts"""
208,arist_diat3.scl,arist diat3,7,"""PsAristo Diat 3, 9.5 + 9.5 + 11 parts"""
209,arist_diat4.scl,arist diat4,7,"""PsAristo Diatonic, 8 + 8 + 14 parts"""
210,arist_diatdor.scl,arist diatdor,7,"""PsAristo Redup. Diatonic, 14 + 2 + 14 parts"""
211,arist_diatinv.scl,arist diatinv,7,"""Lydian octave species on E, major mode, 12 + 12 + 6 parts"""
212,arist_diatred.scl,arist diatred,7,"""Aristo Redup. Diatonic, Dorian Mode, 14 + 14 + 2 parts"""
213,arist_diatred2.scl,arist diatred2,7,"""PsAristo 2 Redup. Diatonic 2, 4 + 13 + 13 parts"""
214,arist_diatred3.scl,arist diatred3,7,"""PsAristo 3 Redup. Diatonic, 8 + 11 + 11 parts"""
215,arist_enh.scl,arist enh,7,"""Aristoxenos' Enharmonion, Dorian mode"""
216,arist_enh2.scl,arist enh2,7,"""PsAristo 2 Enharmonic, 3.5 + 3.5 + 23 parts"""
217,arist_enh3.scl,arist enh3,7,"""PsAristo Enharmonic, 2.5 + 2.5 + 25 parts"""
218,arist_hemchrom.scl,arist hemchrom,7,"""Aristoxenos's Chromatic Hemiolion, Dorian Mode"""
219,arist_hemchrom2.scl,arist hemchrom2,7,"""PsAristo C/H Chromatic, 4.5 + 7.5 + 18 parts"""
220,ARIST_HEMCHROM3.scl,ARIST HEMCHROM3,7,"""Dorian mode of Aristoxenos' Hemiolic Chromatic according to Ptolemy's interpret"""
221,arist_hypenh2.scl,arist hypenh2,7,"""PsAristo 2nd Hyperenharmonic, 37.5 + 37.5 + 425 cents"""
222,arist_hypenh3.scl,arist hypenh3,7,"""PsAristo 3 Hyperenharmonic, 1.5 + 1.5 + 27 parts"""
223,arist_hypenh4.scl,arist hypenh4,7,"""PsAristo 4 Hyperenharmonic, 2 + 2 + 26 parts"""
224,ARIST_HYPENH5.scl,ARIST HYPENH5,7,"""PsAristo Hyperenharmonic, 23 + 23 + 454 cents"""
225,arist_intdiat.scl,arist intdiat,7,"""Dorian mode of Aristoxenos's Intense Diatonic according to Ptolemy"""
226,arist_penh2.scl,arist penh2,7,"""Permuted Aristoxenos's Enharmonion, 3 + 24 + 3 parts"""
227,arist_penh3.scl,arist penh3,7,"""Permuted Aristoxenos's Enharmonion, 24 + 3 + 3 parts"""
228,arist_pschrom2.scl,arist pschrom2,7,"""PsAristo 2 Chromatic, 6.5 + 6.5 + 17 parts"""
229,arist_softchrom.scl,arist softchrom,7,"""Aristoxenos's Chromatic Malakon, Dorian Mode"""
230,ARIST_SOFTCHROM2.scl,ARIST SOFTCHROM2,7,"""Aristoxenos' Soft Chromatic, 6 + 16.5 + 9.5 parts"""
231,arist_SOFTCHROM3.scl,arist SOFTCHROM3,7,"""Aristoxenos's Chromatic Malakon, 9.5 + 16.5 + 6 parts"""
232,ARIST_SOFTCHROM4.scl,ARIST SOFTCHROM4,7,"""PsAristo S. Chromatic, 6 + 7.5 + 16.5 parts"""
233,ARIST_SOFTCHROM5.scl,ARIST SOFTCHROM5,7,"""Dorian mode of Aristoxenos' Soft Chromatic according to Ptolemy's interpretati"""
234,arist_softdiat.scl,arist softdiat,7,"""Aristoxenos's Diatonon Malakon, Dorian Mode"""
235,arist_softdiat2.scl,arist softdiat2,7,"""Dorian Mode, 6 + 15 + 9 parts"""
236,arist_softdiat3.scl,arist softdiat3,7,"""Dorian Mode, 9 + 15 + 6 parts"""
237,arist_softdiat4.scl,arist softdiat4,7,"""Dorian Mode, 9 + 6 + 15 parts"""
238,arist_softdiat5.scl,arist softdiat5,7,"""Dorian Mode, 15 + 6 + 9 parts"""
239,arist_softdiat6.scl,arist softdiat6,7,"""Dorian Mode, 15 + 9 + 6 parts"""
240,ARIST_SOFTDIAT7.scl,ARIST SOFTDIAT7,7,"""Dorian mode of Aristoxenos's Soft Diatonic according to Ptolemy"""
