98,182.4,10 / 9,5,,Superparticular,,"Small just whole tone or major second,[4]minor whole tone,[3][5] lesser whole tone,[15]minor tone,[13] minor second,[10] half-comma meantone major second"
99,200,2 to the power of 2/12,0,Meantone,,"6, 12", Equal-tempered major second
100,203.91,9 / 8,3,,Superparticular,,"Pythagorean major second, Large just whole tone or major second[10] (sesquioctavan),[4]tonus, major whole tone,[3][5] greater whole tone,[15] major tone[13]"
101,215.89,145 / 128,29,,,, Hundred-forty-fifth harmonic
102,223.46,256 / 225,5,,,,"Just diminished third,[15] 225th subharmonic"
103,225,2 to the power of 3/16,0,,,"16, 48",9 steps in 48 equal temperament
104,227.79,73 / 64,73,,,,Seventy-third harmonic[5]
105,231.17,8 / 7,7,,Superparticular,,"Septimal major second,[4] septimal whole tone[3][5]"
106,240,2 to the power of 1/5,0,,,5,1 step in 5 equal temperament
107,247.74,15 / 13,13,,,,Tridecimal 5/4 tone[3]
108,250,2 to the power of 5/24,0,,,24,5 steps in 24 equal temperament
109,251.34,37 / 32,37,,,,Thirty-seventh harmonic[5]
110,253.08,125 / 108,5,,,,"Semi-augmented whole tone,[3] semi-augmented second[citation needed]"
111,262.37,64 / 55,11,,,,55th subharmonic[5][6]
112,268.8,299 / 256,23,,,, Two-hundred-ninety-ninth harmonic
113,266.87,7 / 6,7,,Superparticular,,Septimal minor third[3][4][10] or Sub minor third[13]
114,274.58,75 / 64,5,,,,"Just augmented second,[15] Augmented tone,[13] augmented second[5][12]"
115,275,2 to the power of 11/48,0,,,48,11 steps in 48 equal temperament
116,289.21,13 / 11,13,,Superparticular,,Tridecimal minor third[3]
117,294.13,32 / 27,3,,,,"Pythagorean minor third[3][5][6][13][15]semiditone, or 27th subharmonic"
118,297.51,19 / 16,19,,,,"19th harmonic,[3] 19-limit minor third, overtone minor third[5]"
119,300,2 to the power of 3/12,0,Meantone,,"4, 12", Equal-tempered minor third
120,301.85,25 / 21[5],7,,,,"Quasi-equal-tempered minor third, 2nd 7-limit minor third, Bohlen-Pierce second[3][6]"
121,310.26,(6/5)/(81/80 to the power of 1/4),0,Meantone,,, Quarter-comma meantone minor third
122,311.98,(3/ 2) to the power of 4/9,0,,,3.85, Alpha scale minor third
